x,Polygon8
0.001,1.0
0.004,1.8448
0.02,4.176
0.1,10.3505
0.3,19.745
1.0,46.612
0.36544,38.531
0.1,23.408
0.01,10.0989
0.001,4.0
0.001,1.0
