x,Polygon7
0.0059352,1.0
0.020162,1.8272
0.08174,4.0751
0.31167,10.1415
0.8369,20.136
1.5774,30.261
2.4909,40.493
5.4794,64.019
3.9839,59.831
1.0,46.613
1.0,46.612
0.3,19.745
0.1,10.3505
0.02,4.176
0.004,1.8448
0.001,1.0
0.0059352,1.0

