x,Polygon100
0.5,0.5
5.434e+05,0.5
5.434e+05,3.9607
5.3859e+05,3.9607
3.7327e+05,3.9394
51385,3.5362
6883,3.0239
934.3,2.4235
118.46,1.8403
16.513,1.30981
2.1791,0.83234
0.5,0.5

