x,Polygon00
0.10,1.491
0.31405,2.3086
1.6727,4.0037
9.277,6.5785
52.858,10.1861
313.64,15.352
1601.9,20.437
9495,24.29
54014,26.624
5.434e+05,28.253
5.434e+05,30
0.1,30
0.10,1.491


